time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega,lat,lon,alt
3.8477372231e+01,6.9939735603e+03,2.4372167190e+02,9.9913700522e-01,-3.1324083666e-01,6.3045214626e+00,-4.4856529078e-05,6.3122983687e+00,6.9982188744e+03,-3.7011617068e+01,5.3826045923e+03,1.5984223753e-03,3.9308667122e+03,4.4170000451e+04,-6.3100132017e+00,7.5486692634e-04,4.4170000000e+04,3.0048703095e-01,-3.0048701091e-01,-1.0100359829e-04,-4.2926803929e-05,4.8965960052e+03,7.0000074650e+03,3.7652017196e+03,5.1338523688e+03,3.1760898075e+00,-3.0945597926e+00,-3.0804322377e+00,-1.4810998770e-02,1.4285744259e-04,1.5709159568e+00,4.7128447434e+00,1.3928757275e-04,4.3500088725e+00,7.2021887284e+02
4.6441857756e+01,6.9912205764e+03,2.9392432583e+02,9.9874277407e-01,-3.7807367146e-01,6.3020290191e+00,-5.4140675371e-05,6.3133596018e+00,6.9973964911e+03,-3.7011608990e+01,5.3826057671e+03,1.5984218520e-03,3.9308679992e+03,4.4170000451e+04,-6.3100192063e+00,9.1105623688e-04,4.4170000000e+04,3.0048736134e-01,-3.0048734409e-01,-9.2337050651e-05,-4.2926892196e-05,4.8965960052e+03,7.0000107712e+03,3.7652007630e+03,5.1338529291e+03,3.1833025369e+00,-3.0847282903e+00,-3.0676504750e+00,-1.7903381129e-02,1.4285757859e-04,1.5709407093e+00,4.7128406538e+00,1.3924897741e-04,4.3566119817e+00,7.1939648957e+02
5.4710768117e+01,6.9878160354e+03,3.4602284599e+02,9.9825523910e-01,-4.4538154140e-01,6.2989477097e+00,-6.3779245773e-05,6.3146739402e+00,6.9963780451e+03,-3.7011598980e+01,5.3826072228e+03,1.5984212036e-03,3.9308695938e+03,4.4170000451e+04,-6.3100266282e+00,1.0731792335e-03,4.4170000000e+04,3.0048777071e-01,-3.0048775609e-01,-8.3337290124e-05,-4.2927001425e-05,4.8965960052e+03,7.0000148678e+03,3.7651995778e+03,5.1338536233e+03,3.1907929237e+00,-3.0745196542e+00,-3.0543801466e+00,-2.1112201563e-02,1.4285774646e-04,1.5709664020e+00,4.7128363957e+00,1.3920126346e-04,4.3634694388e+00,7.1837804359e+02
6.2979678479e+01,6.9838549463e+03,3.9809380665e+02,9.9768800579e-01,-5.1268577666e-01,6.2953631348e+00,-7.3417290723e-05,6.3162048502e+00,6.9951918905e+03,-3.7011587315e+01,5.3826089193e+03,1.5984204479e-03,3.9308714522e+03,4.4170000451e+04,-6.3100352604e+00,1.2352588534e-03,4.4170000000e+04,3.0048824780e-01,-3.0048823554e-01,-7.4335182816e-05,-4.2927128589e-05,4.8965960052e+03,7.0000196420e+03,3.7651981965e+03,5.1338544323e+03,3.1982856695e+00,-3.0643094033e+00,-3.0411098050e+00,-2.4318910515e-02,1.4285794308e-04,1.5709920878e+00,4.7128321227e+00,1.3914575640e-04,4.3703292471e+00,7.1719188896e+02
7.1768727764e+01,6.9790345672e+03,4.5340531014e+02,9.9699772112e-01,-5.8421906549e-01,6.2910007896e+00,-8.3660934795e-05,6.3180695516e+00,6.9937472688e+03,-3.7011573098e+01,5.3826109870e+03,1.5984195269e-03,3.9308737172e+03,4.4170000451e+04,-6.3100457629e+00,1.4074789332e-03,4.4170000000e+04,3.0048882928e-01,-3.0048881923e-01,-6.4763839464e-05,-4.2927283438e-05,4.8965960052e+03,7.0000254609e+03,3.7651965130e+03,5.1338554184e+03,3.2062527207e+00,-3.0534548515e+00,-3.0270047029e+00,-2.7724656963e-02,1.4285818166e-04,1.5710193805e+00,4.7128275623e+00,1.3907820556e-04,4.3776235378e+00,7.1574726726e+02
8.0557777049e+01,6.9735855017e+03,5.0867596935e+02,9.9621740790e-01,-6.5574699622e-01,6.2860686587e+00,-9.3903804216e-05,6.3201790571e+00,6.9921131987e+03,-3.7011557001e+01,5.3826133279e+03,1.5984184841e-03,3.9308762815e+03,4.4170000451e+04,-6.3100576337e+00,1.5796348287e-03,4.4170000000e+04,3.0048948759e-01,-3.0048947946e-01,-5.5189004106e-05,-4.2927458604e-05,4.8965960052e+03,7.0000320487e+03,3.7651946071e+03,5.1338565347e+03,3.2142232774e+00,-3.0425979011e+00,-3.0128995812e+00,-3.1127270482e-02,1.4285845133e-04,1.5710466628e+00,4.7128229801e+00,1.3900183160e-04,4.3849213224e+00,7.1411319714e+02
8.9794009582e+01,6.9671817635e+03,5.6670927109e+02,9.9530038457e-01,-7.3090774220e-01,6.2802707453e+00,-1.0466688739e-04,6.3226597863e+00,6.9901918510e+03,-3.7011538056e+01,5.3826160831e+03,1.5984172568e-03,3.9308792997e+03,4.4170000451e+04,-6.3100715835e+00,1.7604721405e-03,4.4170000000e+04,3.0049026243e-01,-3.0049025598e-01,-4.5122768237e-05,-4.2927664612e-05,4.8965960052e+03,7.0000398025e+03,3.7651923638e+03,5.1338578487e+03,3.2226036261e+00,-3.0311856438e+00,-2.9980767728e+00,-3.4699209892e-02,1.4285876841e-04,1.5710753208e+00,4.7128181382e+00,1.3891205103e-04,4.3925946541e+00,7.1219184943e+02
9.9030242115e+01,6.9600838568e+03,6.2468610845e+02,9.9428395578e-01,-8.0606106378e-01,6.2738417739e+00,-1.1542889716e-04,6.3254110583e+00,6.9880613203e+03,-3.7011517023e+01,5.3826191419e+03,1.5984158943e-03,3.9308826504e+03,4.4170000451e+04,-6.3100870455e+00,1.9412206572e-03,4.4170000000e+04,3.0049112262e-01,-3.0049111751e-01,-3.5051697671e-05,-4.2927893136e-05,4.8965960052e+03,7.0000484105e+03,3.7651898733e+03,5.1338593074e+03,3.2309888305e+00,-3.0197700658e+00,-2.9832539373e+00,-3.8266818479e-02,1.4285911890e-04,1.5711039645e+00,4.7128132661e+00,1.3881249859e-04,4.4002728284e+00,7.1006131875e+02
1.0826647465e+02,6.9522918539e+03,6.8260064788e+02,9.9316813196e-01,-8.8120616636e-01,6.2667806553e+00,-1.2618971868e-04,6.3284329897e+00,6.9857216272e+03,-3.7011493896e+01,5.3826225053e+03,1.5984143962e-03,3.9308863347e+03,4.4170000451e+04,-6.3101040205e+00,2.1218711040e-03,4.4170000000e+04,3.0049206846e-01,-3.0049206436e-01,-2.4975292463e-05,-4.2928144225e-05,4.8965960052e+03,7.0000578756e+03,3.7651871349e+03,5.1338609113e+03,3.2393793968e+00,-3.0083508219e+00,-2.9684310718e+00,-4.1829650559e-02,1.4285950514e-04,1.5711325924e+00,4.7128083606e+00,1.3870315746e-04,4.4079563441e+00,7.0772162566e+02
1.1750270718e+02,6.9438058345e+03,7.4044704528e+02,9.9195292463e-01,-9.5634223800e-01,6.2590861916e+00,-1.3694923457e-04,6.3317257086e+00,6.9831727945e+03,-3.7011468667e+01,5.3826261744e+03,1.5984127618e-03,3.9308903541e+03,4.4170000451e+04,-6.3101225093e+00,2.3024141316e-03,4.4170000000e+04,3.0049310029e-01,-3.0049309685e-01,-1.4893053720e-05,-4.2928417932e-05,4.8965960052e+03,7.0000682013e+03,3.7651841476e+03,5.1338626611e+03,3.2477758326e+00,-2.9969275664e+00,-2.9536081736e+00,-4.5387260911e-02,1.4285992480e-04,1.5711612031e+00,4.7128034187e+00,1.3858400911e-04,4.4156457101e+00,7.0517279294e+02
