time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
5.4296086384e+01,9.9941274913e+03,3.4354064963e+02,9.9941274913e-01,-2.1629275293e-01,6.3062728289e+00,-2.1629275293e-05,6.3099809467e+00,1.0000030274e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-2.7755575616e-17,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0329890495e+00,3.0329129478e+00,3.0328368196e+00,7.6128281765e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
6.6323073466e+01,9.9912381725e+03,4.1937548339e+02,9.9912381725e-01,-2.6417750629e-01,6.3044448889e+00,-2.6417750629e-05,6.3099774257e+00,1.0000035851e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000315e+04,-6.3100000000e+00,-1.1102230246e-16,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0405780282e+00,3.0405072255e+00,3.0404363981e+00,7.0827435879e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
7.8839055195e+01,9.9876199687e+03,4.9826789213e+02,9.9876199687e-01,-3.1399287562e-01,6.3021568331e+00,-3.1399287562e-05,6.3099740313e+00,1.0000041226e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-1.1102230246e-16,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0484755518e+00,3.0484102679e+00,3.0483449611e+00,6.5306737691e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
9.1794100851e+01,9.9832182866e+03,5.7989505215e+02,9.9832182866e-01,-3.6553502095e-01,6.2993742343e+00,-3.6553502095e-05,6.3099708079e+00,1.0000046331e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-5.5511151231e-17,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0566501140e+00,3.0565905467e+00,3.0565309587e+00,5.9588083149e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.0474914651e+02,9.9781490288e+03,6.6148343471e+02,9.9781490288e-01,-4.1705264773e-01,6.2961704020e+00,-4.1705264773e-05,6.3099678798e+00,1.0000050968e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-1.1102230246e-16,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0648246682e+00,3.0647708216e+00,3.0647169562e+00,5.3865443959e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.1846104170e+02,9.9720567811e+03,7.4779000932e+02,9.9720567811e-01,-4.7154947032e-01,6.2923207714e+00,-4.7154947032e-05,6.3099651025e+00,1.0000055367e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-1.6653345369e-16,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0734767821e+00,3.0734289942e+00,3.0733811897e+00,4.7804565580e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.3217293690e+02,9.9652175167e+03,8.3404056624e+02,9.9652175167e-01,-5.2601090107e-01,6.2879997818e+00,-5.2601090107e-05,6.3099626565e+00,1.0000059241e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-1.1102230246e-16,6.3100000000e+04,7.0186362213e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0821288887e+00,3.0820871633e+00,3.0820454232e+00,4.1740106112e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.4653855977e+02,9.9572514560e+03,9.2433607270e+02,9.9572514560e-01,-5.8302643312e-01,6.2829675351e+00,-5.8302643312e-05,6.3099604493e+00,1.0000062736e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-2.2204460493e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320241e-04,-9.9999999000e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.0911934862e+00,3.0911581154e+00,3.0911227322e+00,3.5383171554e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.6090418263e+02,9.9484666708e+03,1.0145555766e+03,9.9484666708e-01,-6.3999397159e-01,6.2774186831e+00,-6.3999397159e-05,6.3099586061e+00,1.0000065655e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-1.1102230246e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320241e-04,-9.9999998999e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1002580778e+00,3.1002290646e+00,3.1002000413e+00,2.9023327639e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
1.7584859673e+02,9.9384598561e+03,1.1083213906e+03,9.9384598561e-01,-6.9920077333e-01,6.2710985131e+00,-6.9920077333e-05,6.3099570749e+00,1.0000068080e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-1.1102230246e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320241e-04,-9.9999998999e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1096878769e+00,3.1096654800e+00,3.1096430753e+00,2.2404720379e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
